No.,銘柄,ティッカー,セクター,終値,シグナル確率,判定,テクニカル,ファンダ,RSI,MACD判定,推奨保有,保有理由
65,ネクソン,3659.T,情報・通信業,2240.0,0.39966188648611756,-,-2 (やや弱い),-,33.988057840347096,下落の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
66,豊田通商,8015.T,卸売業,6930.0,0.39862326196052833,-,-3 (やや弱い),-,53.60248344044914,下落の勢い加速,中期(20日),中期的な値動きを見極める
67,川崎汽船,9107.T,海運業,2520.0,0.3985108272683582,-,-5 (弱い),-,48.11376687068647,下落止まりつつある,中期(20日),中期的な値動きを見極める
68,京セラ,6971.T,電気機器,3483.0,0.39761691304111246,-,+4 (強い),-,83.94987299608383,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
69,大塚ホールディングス,4578.T,医薬品,11715.0,0.39754863354025893,-,+5 (強い),-,60.683888588275636,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
70,王子ホールディングス,3861.T,パルプ・紙,782.2,0.3951681826779235,-,-3 (やや弱い),-,36.68278374895247,下落の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
71,SMC,6273.T,電気機器,69110.0,0.3951681222405052,-,-3 (やや弱い),-,47.35055556958254,下落の勢い加速,中期(20日),中期的な値動きを見極める
72,サッポロホールディングス,2501.T,食料品,1593.0,0.3951395717301344,-,-4 (弱い),-,38.87455419449413,下落の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
73,三菱ケミカルグループ,4188.T,化学,1147.0,0.3949266506782532,-,+5 (強い),-,72.02054210069586,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
74,レゾナック・ホールディングス,4004.T,化学,18720.0,0.39491792196538056,-,+7 (非常に強い),-,64.96743651791743,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
75,TOPPANホールディングス,7911.T,その他製品,4562.0,0.3945962478530292,-,-4 (弱い),-,45.598942438454195,下落の勢い加速,中期(20日),中期的な値動きを見極める
76,マツダ,7261.T,輸送機器,1148.5,0.3935050680942042,-,+3 (やや強い),-,64.10883405558714,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
77,東京海上ホールディングス,8766.T,保険業,7111.0,0.3920047300047155,-,-2 (やや弱い),-,44.09261079518439,下落の勢い加速,中期(20日),中期的な値動きを見極める
78,フジミインコーポレーテッド,5384.T,化学,3960.0,0.3911114376720898,-,+5 (強い),-,71.5800260591968,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
79,パナソニックホールディングス,6752.T,電気機器,3700.0,0.3911073274732925,-,+4 (強い),-,69.58424212219961,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
80,SWCC,5805.T,非鉄金属,14840.0,0.39104160623858164,-,-3 (やや弱い),-,50.19177478938461,下落の勢い加速,中期(20日),中期的な値動きを見極める
81,関電工,1942.T,建設業,6538.0,0.39077305724146216,-,-3 (やや弱い),-,51.18534792674716,下落の勢い加速,中期(20日),中期的な値動きを見極める
82,滋賀銀行,8366.T,銀行業,2002.0,0.3904528330922776,-,+1 (中立),-,48.51512553859466,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
83,長瀬産業,8012.T,卸売業,1125.5,0.3893467598324556,-,-4 (弱い),-,43.88095825563074,下落止まりつつある,中期(20日),中期的な値動きを見極める
84,東宝,9602.T,情報・通信業,1229.0,0.38928995087635454,-,-2 (やや弱い),-,27.350272809131653,下落の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
85,西武ホールディングス,9024.T,陸運業,2819.5,0.3883918702558541,-,-1 (中立),-,23.049933788352362,下落の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
86,北洋銀行,8524.T,銀行業,973.0,0.3882696469581358,-,-4 (弱い),-,45.01549155370156,下落の勢い加速,中期(20日),中期的な値動きを見極める
87,鹿島建設,1812.T,建設業,5907.0,0.3879857841684594,-,-6 (弱い),-,49.15984407008314,下落の勢い加速,中期(20日),中期的な値動きを見極める
88,イビデン,4062.T,電気機器,23000.0,0.38791724483580947,-,+3 (やや強い),-,78.96833908232627,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
89,アルプスアルパイン,6770.T,電気機器,2171.0,0.387804864112969,-,+2 (やや強い),-,47.615038042883825,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
90,アイシン,7259.T,輸送機器,2413.5,0.3877762411497527,-,+4 (強い),-,55.214726864597786,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
91,東北電力,9506.T,電力・ガス業,1006.5,0.387270630307053,-,-3 (やや弱い),-,35.31263262628768,下落止まりつつある,中期(20日),調整局面、回復を待ってリターン狙い
92,スギホールディングス,7649.T,小売業,2752.5,0.3864478499601295,-,-2 (やや弱い),-,25.10122727673067,下落の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
93,八十二銀行,8359.T,銀行業,2323.5,0.38534015852332115,-,+1 (中立),-,57.29866949345378,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
94,サンリオ,8136.T,小売業,856.2,0.38514012094464134,-,-1 (中立),-,42.150136405564446,上昇の勢い加速,中期(20日),中期的な値動きを見極める
95,OSG,6136.T,機械,3425.0,0.3849472832223055,-,+2 (やや強い),-,60.43829641144973,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
96,京王電鉄,9008.T,陸運業,737.9,0.3848597843139358,-,-4 (弱い),-,40.96738428337654,下落の勢い加速,中期(20日),中期的な値動きを見極める
97,ふくおかフィナンシャルグループ,8354.T,銀行業,6556.0,0.3845342396788731,-,+0 (中立),-,51.36303537540306,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
98,JX金属,5016.T,鉱業,3929.0,0.384525290105123,-,-2 (やや弱い),-,41.713134203754,下落の勢い加速,中期(20日),中期的な値動きを見極める
99,アルバック,6728.T,電気機器,9504.0,0.38396326973070444,-,-4 (弱い),-,47.0490339926655,下落の勢い加速,中期(20日),中期的な値動きを見極める
100,三井住友トラスト・ホールディングス,8309.T,銀行業,5474.0,0.38368309724831406,-,+1 (中立),-,49.172391674652225,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
101,かんぽ生命保険,7181.T,保険業,1429.5,0.3831575821985017,-,-3 (やや弱い),-,38.677354111517346,下落の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
102,スズキ,7269.T,輸送機器,1973.5,0.3829006889895766,-,+4 (強い),-,61.93936597975691,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
103,横浜ゴム,5101.T,ゴム製品,7179.0,0.382737043663862,-,+4 (強い),-,63.264199976081755,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
104,三菱UFJフィナンシャル・グループ,8306.T,銀行業,2999.0,0.38239596853325875,-,+1 (中立),-,55.11713300346376,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
105,九州フィナンシャルグループ,7180.T,銀行業,1382.0,0.3822103186045986,-,+1 (中立),-,54.33795673181923,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
106,セブン銀行,8410.T,銀行業,270.1,0.38188264136544026,-,-3 (やや弱い),-,48.82280399400858,上昇の勢い鈍化,中期(20日),中期的な値動きを見極める
107,ひろぎんホールディングス,7337.T,銀行業,2017.5,0.38167724588525326,-,+1 (中立),-,54.689172138602295,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
108,エムスリー,2413.T,情報・通信業,1424.0,0.379804055172153,-,+4 (強い),-,47.29144321594832,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
109,東映,9605.T,情報・通信業,5900.0,0.3776036003282766,-,-4 (弱い),-,53.82286671910334,下落の勢い加速,中期(20日),中期的な値動きを見極める
110,DIC,4631.T,化学,4833.0,0.3773703232788567,-,+3 (やや強い),-,77.81617472967463,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
111,日産化学,4021.T,化学,7509.0,0.37699372822106153,-,+5 (強い),-,70.36023316535956,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
112,ダイダン,1980.T,建設業,2650.0,0.37687153359737163,-,-1 (中立),-,48.39461288074021,上昇の勢い加速,中期(20日),中期的な値動きを見極める
113,ビジョナル,4194.T,サービス業,7850.0,0.37606723621437876,-,+4 (強い),-,57.504675032887604,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
114,ジーエス・ユアサ コーポレーション,6674.T,電気機器,6560.0,0.3759417499702802,-,+1 (中立),-,58.54729460804785,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
115,パン・パシフィック・インターナショナルホールディングス,7532.T,小売業,878.2,0.373327936476662,-,+0 (中立),-,48.35732176920016,上昇の勢い加速,中期(20日),中期的な値動きを見極める
116,いよぎんホールディングス,5830.T,銀行業,3054.0,0.37321539938265935,-,-4 (弱い),-,46.59974580966998,下落の勢い加速,中期(20日),中期的な値動きを見極める
117,LINEヤフー,4689.T,情報・通信業,417.3,0.37298286938891484,-,-3 (やや弱い),-,51.836960073967376,下落の勢い加速,中期(20日),中期的な値動きを見極める
118,イオンフィナンシャルサービス,8570.T,その他金融業,1510.0,0.3715228536526625,-,-5 (弱い),-,38.10773698027406,下落の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
119,ノジマ,7419.T,小売業,1433.0,0.37108808564346496,-,+4 (強い),-,65.49253223150717,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
120,マックス,6454.T,機械,1659.0,0.370598146288779,-,-2 (やや弱い),-,44.88293911352345,下落の勢い加速,中期(20日),中期的な値動きを見極める
121,日揮ホールディングス,1963.T,建設業,2728.5,0.37045722136282366,-,+5 (強い),-,57.989074277079446,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
122,山陰合同銀行,8381.T,銀行業,2063.0,0.3700395792693925,-,+5 (強い),-,62.7840273904438,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
123,オルガノ,6368.T,機械,15960.0,0.36953672597750115,-,-2 (やや弱い),-,44.55724468337657,下落の勢い加速,中期(20日),中期的な値動きを見極める
